﻿觀測時間(hour),降水量(mm),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-10-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-02,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-17,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-18,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-23,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-24,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-05,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-23,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-24,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-03,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-05,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-06,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-08,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-09,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-10,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-11,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-12,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-13,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-24,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-11,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-12,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-13,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-14,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-15,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-16,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-19,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-20,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-21,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-22,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-02,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-03,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-04,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-06,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-07,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-09,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-10,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-16,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-17,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-18,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-19,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-20,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-22,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-23,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-27,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-28,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-04,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-10,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-11,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-12,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-13,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-14,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-16,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-17,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-18,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-23,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-24,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-29,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-03,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-12,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-18,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-19,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-20,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-22,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-23,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-26,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-27,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-28,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-29,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-04,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-05,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-08,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-09,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-10,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-11,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-12,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-13,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-14,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-15,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-16,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-17,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-19,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-20,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-21,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-22,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-24,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-25,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-26,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
